"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Australia","AUS","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Austria","AUT","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Azerbaijan","AZE","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.0660884019975","97.5912886048578","100","98.1073258728051","98.3629716869597","98.6263302575339","99.1672354516098","99.1994962307705","99.5114319222904","99.8521818454373","99.9290096807004","99.9","100","100","100","100","100","100","100","100","100","100","",
"Burundi","BDI","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.882570838367696","","","","","0.998027727111687","0.980123073340712","1.20747858826375","1.53369584676301","1.6584073300067","1.97714432825881","1.97358317236654","0.934801165055394","1.62982248444173","",
"Belgium","BEL","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Benin","BEN","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.77705783175004","2.95153386395072","3.77084155437861","4.59248706500119","5.39472665156881","4.44922418747783","6.79306355152856","7.37258807907263","7.94636524964452","8.52242289802522","7.91549930502772","9.69981615173935","10.3009951580298","10.9093184818506","10.5737025302915","13.6236325183686","14.5507822008426","13.3714628390915","16.2260160562312","11.0660053632715","15.1605577237993","17.192182770127","16.3231560093481","16.8906882115949","17.4474673758129","17.9942154433107","",
"Burkina Faso","BFA","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.11886320042586","1.35751354030041","1.6318759881764","1.89743050224686","2.07642889027307","2.17145348172265","","2.31067177922259","2.24230503040531","2.13277762706983","1.15256225567132","1.81166018318188","1.61030457462596","1.3868080033124","1.2426144488847","1.16741396563658","2.55069817053234","1.52984230474851","1.87525326416607","1.45168429571731","1.04554773239628","4.74987644223849","","","","","","","","",
"Bangladesh","BGD","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.17101853037543","","","2.23884484895593","3.73433754799093","6.69330420934747","5.8814757415098","12.655072788125","15.6581285850542","16.8105220781412","21.5143426245303","24.2974955762596","27.098626876504","27.8762904001413","30.1718588271601","40.1709567552799","32.492263270901","41.6550932143171","44.7026820322642","39.997897436946","45.7070884655661","53.7705466662662","48.5877629251502","48.1211989711293","63.7815958556997","66.1436475784573","81.57102983522","81.3262437908116","88.8535985163401","95.2119664318479","98.5442117423545","",
"Bulgaria","BGR","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","77.7558981714938","78.6469219393448","79.4840253719329","80.3192309318972","81.1585138347907","82.0095142608858","82.8789337153956","83.7709276245694","84.6881406924392","85.6339475969377","86.6113833017926","87.519608545084","88.3716000144033","89.4121097547224","90.6875233271563","92.2721823586521","94.1873701862429","95.9582818083143","97.3943632463823","98.4206486246119","99.3887142216549","99.4828988822509","",
"Bahrain","BHR","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.5058870618272","99.720605934921","99.8895235712849","99.9753465679592","99.9980282530873","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bahamas, The","BHS","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bosnia and Herzegovina","BIH","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","98.9213283665779","99.5938391161119","97.8961464673443","98.9125949588746","98.9005475124398","98.8954073956752","99.1270620805811","99.8286350422803","98.9671332579351","99.0185632976522","99.1269392347366","99.6564900458827","99.4881622241125","99.0650886671729","99.8544157865234","99.4321086908065","99.9937344819681","100","100","100","100","100","",
"Belarus","BLR","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","79.4424161777971","80.22314588777","80.9972896561205","81.7720987451275","82.5538595205216","83.3498049165955","84.1665575554654","85.0089298990816","85.8798594545907","86.7844564988054","87.7057734063513","88.664723050475","89.6765071758545","90.7489521880043","91.8895587529438","93.0986852782119","94.7412413212531","96.6147437159814","98.1559972067045","100","100","100","",
"Belize","BLZ","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.7948402460806","52.5183056980487","54.2099504223872","55.8924997801879","57.5685157492391","59.237817457154","60.9026498452213","62.5630782103968","64.2206403979687","65.6969359925647","67.4575245983706","68.8771796585746","70.289258893601","71.7006072120091","73.1186658667696","85.1272749656233","75.997400191247","77.4594614358628","78.9344995845303","84.0689223361563","87.8571882562216","85.7099488694864","85.9391658585515","86.4101230607236","87.5583153490645","89.4292953200675","90.9467328797664","86.5137441288518","87.8397527452963","95.5379401388217","97.0836733402899","",
"Bermuda","BMU","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bolivia","BOL","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.2145822115123","13.3725169498417","23.167928845758","20.2616960389374","32.9567614289426","24.2240372567879","32.6782770853407","28.3738518904785","28.1674284923216","28.0133475022578","22.5278025679909","34.9556020125163","40.3028939727806","29.5450096623227","41.570565416095","46.5350647948982","57.00263148671","63.2775839921946","66.422110855658","66.6475736814098","72.1698831517664","68.5167310164241","70.2928656645319","74.3384969422006","74.8694598817851","74.8204412100342","77.5866708596203","84.9234776648635","90.9025890464327","95.1100037052494","",
"Brazil","BRA","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.9484320241383","68.1410230491832","62.0133014337249","64.3043978721134","69.5260303381059","67.946114285024","71.0417639637788","71.8385840283646","74.6887052208251","76.5073551123924","74.6087507052771","81.875763171679","84.1179541141622","85.3215354110452","83.4505450590802","84.8305341166813","87.1654186077617","89.7762109431126","91.8522558317765","93.6173982013286","92.1396107159664","96.1905873888052","97.2218134471323","97.5020335215565","97.910077020264","98.2324092529854","98.4671299664121","99.1695931615088","98.4109076033192","98.4820886457358","98.6721959416221","97.305019265081","",
"Barbados","BRB","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9748569516163","99.9895842514774","99.997928794984","100","100","100","100","100","100","100","100","100","100","100","99.9657003687127","99.9010194035793","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Brunei Darussalam","BRN","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Bhutan","BTN","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.79658365890248","19.7678588112605","23.9119858500564","18.451119507695","32.4918459384611","43.226337442913","41.9846531442309","58.8520396653494","52.3091019614726","57.6572901947439","59.3978241884337","72.0712518380941","86.8699457565211","80.2769199648576","86.4306543825341","92.6235479726084","98.9696458068343","96.760154726907","99.9342131059476","100","100","100","",
"Botswana","BWA","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.97363741103963","1.6322980392337","3.25835695727018","4.85342418017861","6.41893134310099","7.95553274362333","9.46555848682613","10.9490920946759","12.406704642078","12.1383748683033","10.4424526961496","6.37510045342024","16.4170638937272","17.8719387831658","19.311316589408","20.7390220323728","21.2717716120557","21.6346823258882","16.2165869565217","25.2194781271668","25.1559981663369","25.3082995633914","25.9459999201168","26.8203688825313","26.4516408477771","28.7705592601237","30.9648618737496","29.0969154215957","27.9205371486466","26.2467196569312","24.9905461657325","",
"Central African Republic","CAF","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.762651006444889","0.872576830096096","0.974938824258711","1.07672828504172","1.17939410138071","","1.40620705961935","4.73735321140993","1.65312289680688","","","0.508502602132378","0.653773970999054","0.848898910807453","1.28705135529252","1.71544345143934","2.05641377444476","2.22542254341273","1.53156080542258","1.91861655440193","1.5655317576963","",
"Canada","CAN","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Central Europe and the Baltics","CEB","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","96.9741114216183","97.1390369618803","97.3067995991648","97.4503917097924","97.5898967173457","97.7271290848708","97.8662347876393","98.012927842648","98.1438667053165","98.3161282907071","98.3609202507087","98.4871728121764","98.6279265705291","98.7954632815793","98.9918706267792","99.2104520901225","99.4079737530224","99.8132208997001","99.8490761154084","99.9293846381266","99.9730598514924","99.9774642602134","",
"Switzerland","CHE","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
